menu_section,product_type,dish_name,cost_rub,weight_g,description,image_url
Популярное,Еда,Домашний салат из овощей со сметаной и яйцом,890,340 г.,"Салат со свежими огурцами, узбекскими томатами, редисом, отварным яйцом и фермерской сметаной",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100000056.jpg?itok=wD3NTajL,/catalog/product/27244
Популярное,Еда,Фокачча с Бурратой и томатами,1370,470 г.,"Фокачча из дровяной печи с узбекскими помидорами, красным луком, свежим базиликом, оливковым маслом и сливочной Бурратой",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011118.jpg?itok=RNsLMG0L,/catalog/product/27252
Популярное,Еда,Пепперони,1290,550 г.,"Пицца из дровяной печи со слайсами пикантной Пеперони, томатным соусом и домашней Моцареллой",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100000044.jpg?itok=b0ybpZge,/catalog/product/27254
Популярное,Еда,Борщ,830,510 г.,"Классический борщ на говяжьем бульоне с бородинским хлебом, салом, зеленым луком и сметаной",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100011145.jpg?itok=llzhn4Uk,/catalog/product/27260
Салаты и закуски,Еда,Форшмак с перепелиным яйцом,650,240 г.,"Форшмак из нежного филе сельди с Рикоттой, сливками, чесночными гренками, маринованным красным луком, огурцами и перепелиным яйцом",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/3200000321.jpg?itok=a1KypkIV,/catalog/product/31076
Салаты и закуски,Еда,Салат из помидоров и огурцов с брынзой (Греческий),970,360 г.,"Салат из свежих огурцов, помидоров, болгарского перца, красного лука, оливок, орегано, домашней брынзы Чанах и оливкового масла",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/3200000322.jpg?itok=x1D0Do5v,/catalog/product/31075
Салаты и закуски,Еда,Винегрет с килькой пряного посола,590,320 г.,"Классический винегрет из отварной свеклы, картофеля, моркови, соленых огурцов и горошка с зеленым луком и килькой пряного посола",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/3200000074.jpg?itok=ylj6MqUB,/catalog/product/25193
Салаты и закуски,Еда,Салат с цыпленком и Пармезаном,1090,290 г.,"Хрустящий цыпленок со свежими листьями салата, запеченным болгарским перцем, гренками, сыром Пармезан и чипсами из бекона",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/400004570.jpg?itok=uG3b0N4D,/catalog/product/27249
Салаты и закуски,Еда,Икра щучья с хрустящими тостами,1590,215 г.,Щучья икра со сладким крымским луком в сметанно-майонезном соусе и хрустящими тостами,https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100000067N.jpg?itok=RlXNrDzU,/catalog/product/24192
Салаты и закуски,Еда,Халлуми на гриле с вялеными томатами и мятой,1050,220 г.,"Салат из обжаренного на гриле сыра Халлуми с вялеными помидорами, оливковым маслом и листьями свежей мяты",https://api.syrovarnya.com/sites/default/files/styles/image_600x600/public/catalog/100000070.jpg?itok=EEScXdcs,/catalog/product/27250
